month,n,prevalence
2023-01-01,84645,0.000472561876070648
2023-02-01,76339,0.0005239785692765166
2023-03-01,84798,0.0007665275124413312
2023-04-01,78708,0.0010926462367230776
2023-05-01,86301,0.0008922260460481338
2023-06-01,83456,0.0008747124233128835
2023-07-01,88063,0.0005450643289463225
2023-08-01,92574,0.0006913388208352237
2023-09-01,89639,0.0005912605004518123
2023-10-01,94329,0.0007950895270807493
2023-11-01,92951,0.0006885348194209853
2023-12-01,95681,0.0004180558313562776
2024-01-01,97205,0.0007818527853505478
2024-02-01,91937,0.0006417438028214973
2024-03-01,100103,0.0004894958193061147
2024-04-01,97467,0.00046169472744621255
2024-05-01,101136,0.0007514633760480937
2024-06-01,98552,0.0006595502881727413
2024-07-01,102450,0.000956564177647633
2024-08-01,103376,0.0007932208636433988
2024-09-01,100807,0.0005753568700586269
2024-10-01,104187,0.0004895044487316076
2024-11-01,102112,0.0004798652460043873
2024-12-01,107008,0.0005513606459330143
2025-01-01,108257,0.0007205076807966229
2025-02-01,99316,0.0006645454911595312
2025-03-01,110863,0.0007847523520020205
2025-04-01,108093,0.0004070568861998464
2025-05-01,111981,0.00045543440405068717
2025-06-01,110238,0.0004444928246158312
2025-07-01,114931,0.00055685585264202
2025-08-01,114727,0.0005316969850166046
2025-09-01,112379,0.000720775233807028
2025-10-01,118578,0.0005397291234461705
2025-11-01,116394,0.00029211127721360207
2025-12-01,120398,0.0001578099303975149
